15-12-30=slide_NaCl_01=01=01.mat,15-12-30,57M,NaCl,ND,data
15-12-30=slide_NaCl_01=01=01_calib.mat,15-12-30,5.9M,NaCl,ND,calib
15-12-30=slip_01=01.mat,15-12-30,22M,other,ND,data
15-12-30=slip_01=01_calib.mat,15-12-30,73M,other,ND,calib
15-12-30=slip_02=01=01.mat,15-12-30,11M,other,ND,data
15-12-30=slip_02=01=01_calib.mat,15-12-30,15M,other,ND,calib
16-1-1=slide_.25M_KCl_01=01=01.mat,16-1-1,68M,KCl,ND,data
16-1-1=slide_.25M_KCl_01=01=01_calib.mat,16-1-1,6.2M,KCl,ND,calib
16-1-1=slide_.25M_KCl_02=01=01.mat,16-1-1,17M,KCl,ND,data
16-1-1=slide_.25M_KCl_02=01=01_calib.mat,16-1-1,70M,KCl,ND,calib
16-1-1=slide_.39M_Urea_01=01=01.mat,16-1-1,15M,other,ND,data
16-1-1=slide_.39M_Urea_01=01=01_calib.mat,16-1-1,15M,other,ND,calib
16-1-11=.25M_NaCl_01=01=01.mat,16-1-11,76M,NaCl,ND,data
16-1-11=.25M_NaCl_01=01=01_calib.mat,16-1-11,13M,NaCl,ND,calib
16-1-11=.25M_NaCl_02=01=01.mat,16-1-11,60M,NaCl,ND,data
16-1-11=.25M_NaCl_02=01=01_calib.mat,16-1-11,15M,NaCl,ND,calib
16-1-11=.25M_NaCl_03=01=01.mat,16-1-11,83M,NaCl,ND,data
16-1-11=.25M_NaCl_03=01=01_calib.mat,16-1-11,24M,NaCl,ND,calib
16-1-12=KCl_01=01=01.mat,16-1-12,110M,KCl,ND,data
16-1-12=KCl_01=01=01_calib.mat,16-1-12,17M,KCl,ND,calib
16-1-12=KCl_02=01=01.mat,16-1-12,53M,KCl,ND,data
16-1-12=KCl_02=01=01_calib.mat,16-1-12,15M,KCl,ND,calib
16-1-12=Urea_01=01=01.mat,16-1-12,85M,other,ND,data
16-1-12=Urea_01=01=01_calib.mat,16-1-12,12M,other,ND,calib
16-1-12=Urea_02=01=01.mat,16-1-12,78M,other,ND,data
16-1-12=Urea_02=01=01_calib.mat,16-1-12,20M,other,ND,calib
16-1-20=Control_CrH2_01=01=01.mat,16-1-20,84M,control,ND,data
16-1-20=Control_CrH2_01=01=01_calib.mat,16-1-20,11M,control,ND,calib
16-1-20=Control_CrH2_02=01=01.mat,16-1-20,49M,control,ND,data
16-1-20=Control_CrH2_02=01=01_calib.mat,16-1-20,9.3M,control,ND,calib
16-1-20=NaCl_.25M_01=01=01.mat,16-1-20,47M,NaCl,ND,data
16-1-20=NaCl_.25M_01=01=01_calib.mat,16-1-20,11M,NaCl,ND,calib
16-1-20=NaCl_.25M_02=01=01.mat,16-1-20,64M,NaCl,ND,data
16-1-20=NaCl_.25M_02=01=01_calib.mat,16-1-20,12M,NaCl,ND,calib
16-1-21=KCl_01=01=01.mat,16-1-21,51M,KCl,ND,data
16-1-21=KCl_01=01=01_calib.mat,16-1-21,15M,KCl,ND,calib
16-1-21=KCl_02=01=01.mat,16-1-21,78M,KCl,ND,data
16-1-21=KCl_02=01=01_calib.mat,16-1-21,34M,KCl,ND,calib
16-1-21=Urea_02=01=01.mat,16-1-21,187M,other,ND,data
16-1-21=Urea_02=01=01_calib.mat,16-1-21,12M,other,ND,calib
16-12-31=.125M_NaCl_1=cell_1=01=01.mat,16-12-31,55M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_1=01=01_calib.mat,16-12-31,27M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_2=01=01.mat,16-12-31,103M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_2=01=01_calib.mat,16-12-31,21M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_3=01=01.mat,16-12-31,114M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_3=01=01_calib.mat,16-12-31,13M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_4=01=01.mat,16-12-31,48M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_4=01=01_calib.mat,16-12-31,14M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_5=01=01.mat,16-12-31,67M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_5=01=01_calib.mat,16-12-31,13M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_6=01=01.mat,16-12-31,74M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_6=01=01_calib.mat,16-12-31,43M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_7=01=01.mat,16-12-31,53M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_7=01=01_calib.mat,16-12-31,63M,NaCl,125,calib
16-12-31=.125M_NaCl_1=cell_8=01=01.mat,16-12-31,116M,NaCl,125,data
16-12-31=.125M_NaCl_1=cell_8=01=01_calib.mat,16-12-31,54M,NaCl,125,calib
16-12-31=.125M_NaCl_2=cell_1=01=01.mat,16-12-31,76M,NaCl,125,data
16-12-31=.125M_NaCl_2=cell_1=01=01_calib.mat,16-12-31,50M,NaCl,125,calib
16-12-31=.125M_NaCl_2=cell_2=01=01.mat,16-12-31,46M,NaCl,125,data
16-12-31=.125M_NaCl_2=cell_2=01=01_calib.mat,16-12-31,48M,NaCl,125,calib
16-12-31=.125M_NaCl_2=cell_7=01=01.mat,16-12-31,174M,NaCl,125,data
16-12-31=.125M_NaCl_2=cell_7=01=01_calib.mat,16-12-31,72M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_1=01=01.mat,16-12-31,93M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_1=01=01_calib.mat,16-12-31,77M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_2=01=01.mat,16-12-31,50M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_2=01=01_calib.mat,16-12-31,73M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_3=01=01.mat,16-12-31,58M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_3=01=01_calib.mat,16-12-31,59M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_4=01=01.mat,16-12-31,77M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_4=01=01_calib.mat,16-12-31,61M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_5=01=01.mat,16-12-31,87M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_5=01=01_calib.mat,16-12-31,67M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_6=01=01.mat,16-12-31,93M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_6=01=01_calib.mat,16-12-31,65M,NaCl,125,calib
16-12-31=.125M_NaCl_3=cell_7=01=01.mat,16-12-31,56M,NaCl,125,data
16-12-31=.125M_NaCl_3=cell_7=01=01_calib.mat,16-12-31,61M,NaCl,125,calib
16-1-4=CrH2_.25M_NaCl_01=01=01.mat,16-1-4,71M,NaCl,ND,data
16-1-4=CrH2_.25M_NaCl_01=01=01_calib.mat,16-1-4,85M,NaCl,ND,calib
16-1-5=CrH2_.39M_Urea_01=01=01.mat,16-1-5,94M,other,ND,data
16-1-5=CrH2_.39M_Urea_01=01=01_calib.mat,16-1-5,61M,other,ND,calib
16-1-7=GFP_.25M_NaCl=01=01.mat,16-1-7,71M,NaCl,ND,data
16-1-7=GFP_.25M_NaCl=01=01_calib.mat,16-1-7,121M,NaCl,ND,calib
16-1-7=GFP_Control_02=01=01.mat,16-1-7,82M,control,ND,data
16-1-7=GFP_Control_02=01=01_calib.mat,16-1-7,30M,control,ND,calib
16-1-7=GFP_Control=01=01.mat,16-1-7,71M,control,ND,data
16-1-7=GFP_Control=01=01_calib.mat,16-1-7,66M,control,ND,calib
16-1-8=linker_control_01=01=01.mat,16-1-8,71M,control,0,data
16-1-8=linker_control_01=01=01_calib.mat,16-1-8,121M,control,0,calib
16-1-8=linker_control_02=01=01.mat,16-1-8,81M,control,0,data
16-1-8=linker_control_02=01=01_calib.mat,16-1-8,48M,control,0,calib
16-2-12=control_01=01=01.mat,16-2-12,61M,control,0,data
16-2-12=control_01=01=01_calib.mat,16-2-12,52M,control,0,calib
16-2-12=control_02=01=01.mat,16-2-12,54M,control,0,data
16-2-12=control_02=01=01_calib.mat,16-2-12,43M,control,0,calib
16-2-12=mcherry+beads_01=01=01.mat,16-2-12,70M,other,ND,data
16-2-12=mcherry+beads_01=01=01_calib.mat,16-2-12,70M,other,ND,calib
16-2-12=mcherry+beads_02=01=01.mat,16-2-12,74M,other,ND,data
16-2-12=mcherry+beads_02=01=01_calib.mat,16-2-12,58M,other,ND,calib
16-2-8=MCherry+beads_01=01=01.mat,16-2-8,52M,other,ND,data
16-2-8=MCherry+beads_01=01=01_calib.mat,16-2-8,79M,other,ND,calib
16-2-8=Mcherry+beads_02=01=01.mat,16-2-8,65M,other,ND,data
16-2-8=Mcherry+beads_02=01=01_calib.mat,16-2-8,68M,other,ND,calib
16-2-8=PGK_Control_01=01=01.mat,16-2-8,71M,control,ND,data
16-2-8=PGK_Control_01=01=01_calib.mat,16-2-8,37M,control,ND,calib
16-2-8=PGK_Control_01=02=01.mat,16-2-8,45M,control,ND,data
16-2-8=PGK_Control_01=02=01_calib.mat,16-2-8,68M,control,ND,calib
16-3-18=slide_2=cell_1=01=01.mat,16-3-18,36M,other,ND,data
16-3-18=slide_2=cell_1=01=01_calib.mat,16-3-18,42M,other,ND,calib
16-3-18=slide_2=cell_2=01=01.mat,16-3-18,79M,other,ND,data
16-3-18=slide_2=cell_2=01=01_calib.mat,16-3-18,95M,other,ND,calib
16-3-18=slide_3=cell_2=01=01.mat,16-3-18,74M,other,ND,data
16-3-18=slide_3=cell_2=01=01_calib.mat,16-3-18,58M,other,ND,calib
